state,population,murders_total,murder_rate
Alabama,5108468,1704,33.35638003409241
Alaska,733406,236,32.178629572160574
Arizona,7431344,939,12.635668595075131
Arkansas,3067732,686,22.361796923590457
California,38965193,4972,12.760106179892398
Colorado,5877610,700,11.909602712667224
Connecticut,3617176,315,8.708451012613155
Delaware,1031890,203,19.672639525530823
District of Columbia,678972,430,63.331035742269194
Florida,22610726,3354,14.833667879571847
Georgia,11029227,2183,19.792864903406194
Hawaii,1435138,56,3.9020637736580035
Idaho,1964726,138,7.023880174640128
Illinois,12549689,3162,25.195843498591877
Indiana,6862199,1427,20.795083325330555
Iowa,3207004,246,7.670710731885586
Kansas,2940546,470,15.983426207241784
Kentucky,4526154,919,20.304214129700405
Louisiana,4573749,1976,43.20307039148847
Maine,1395722,86,6.161685493242924
Maryland,6180253,1552,25.112240550670013
Massachusetts,7001399,444,6.341589730852362
Michigan,10037261,1406,14.007805515867327
Minnesota,5737915,403,7.023457126848341
Mississippi,2939690,1064,36.194292595477755
Missouri,6196156,1922,31.019231923792752
Montana,1132812,123,10.857935826950985
Nebraska,1978379,197,9.957647144455132
Nevada,3194176,704,22.04011300567032
New Hampshire,1402054,78,5.563266464772398
New Jersey,9290841,1077,11.592061472153059
New Mexico,2114371,427,20.19513131801373
New York,19571216,1559,7.965779949493173
North Carolina,10835491,2015,18.59629618999268
North Dakota,783926,58,7.39865752634815
Ohio,11785935,2244,19.039643439404678
Oklahoma,4053824,830,20.4744951926872
Oregon,4233358,378,8.929081830546815
Pennsylvania,12961683,2126,16.402190980908884
Rhode Island,1095962,58,5.292154290021005
South Carolina,5373555,1454,27.058437105417177
South Dakota,919318,74,8.04944534970489
Tennessee,7126489,1658,23.26531339626007
Texas,30503301,4350,14.260751647829853
Utah,3417734,232,6.788123358927289
Vermont,647464,47,7.259090852927731
Virginia,8715698,1299,14.904141928735942
Washington,7812880,726,9.292348020192298
West Virginia,1770071,296,16.72249305253857
Wisconsin,5910955,776,13.128166260781887
Wyoming,584057,63,10.786618429365628
